code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
PWFP035,Nguồn FSP Power Supply HEXA 85+ Series Model HA450 Active PFC  (80 Plus  Bronze/Direct Cable /Micro ATX/Màu Đen),24 tháng,0,1199000,Categories/img/Psu/250_40889_fsp_power_supply_hexa_85_series_model_ha450_0000_1.jpg,- Đạt tiêu chuẩn ATX12 v2.4 & EPS12 v2.92.- Hiệu suất cao ≧ 85%.- Active PFC ≧ 90%.- Tuân thủ chứng nhận 80 PLUS® Bronze.- Thiết kế đường 12V Single Rail.
PWFP037,Nguồn FSP Power Supply HEXA 85 Series Model HA650 Active PFC (80 Plus  Bronze/Direct Cable/Micro ATX/Màu Đen),24 tháng,1599000,1499000,Categories/img/Psu/250_40891_fsp_power_supply_hexa_85_series_model_ha650_0000_1.jpg,- Đạt tiêu chuẩn ATX12 v2.4 & EPS12 v2.92.- Hiệu suất cao ≧ 85%.- Active PFC ≧ 90%.- Tuân thủ chứng nhận 80 PLUS® Bronze.- Thiết kế đường 12V Single Rail.
PWFP049,Nguồn FSP Power Supply FlexGURU Series Model FSP250-50FGBBI  Active PFC (80 Plus /Flex ATX/Màu Đen),24 tháng,1899000,1399000,Categories/img/Psu/250_47347_fsp_power_supply_flexguru_series_model_fsp250_50fgbbi_active_pfc_80_plus_flex_atx_0004_5.jpg,- Theo tiêu chuẩn Flex ATX v1.22 mới nhất.- 250W: Hiệu suất ≥ 85% khi tải thông thường.- Tuân thủ các tiêu chuẩn an toàn quốc tế UL / EN / IEC 62368-1 và 60950.- Điều khiển tốc độ quạt thông minh.- Quạt bi 40mm yên tĩnh và lâu dài.
PWFP028,Nguồn FSP Power Supply AURUM PT Series PT 1200FM   Active PFC (80 Plus  Platinum/Full Modular/Màu Đen),24 tháng,0,4999000,Categories/img/Psu/250_34487_fsp_power_supply_aurum_pt_series_pt_1200fm_0001_2.jpg,- No information
PWFP038,Nguồn FSP Power Supply HYDRO PTM Series Model HPT650M Active PFC (92 Plus  Platinum/Full Modular /Micro ATX/Màu Đen),24 tháng,2999000,2499000,Categories/img/Psu/250_40892_fsp_power_supply_hydro_ptm_series_model_hpt650m_0000_1.jpg,- Sản phẩm độc đáo với nhãn dán bên có thể thay đổi màu sắc cho phù hợp hệ thống.- Thiết kế mạch điều khiển tốc độ quạt thông minh.- Thiết kế bố trí nhiệt tiên tiến.- Tuân thủ các tiêu chuẩn ATX12 v2.4 & EPS12 v2.92 mới nhất.- Hiệu quả cao ≧ 92%.
PWFP043,Nguồn FSP Power Supply HYPER M85+ Series Model HA550M Active PFC (80 Plus  Bronze/Direct Cable/Micro ATX/Màu Đen),60 tháng,0,1699000,Categories/img/Psu/250_50352_fsp_power_supply_hyper_m85__series_model_ha550m__0001_2.jpg,"- Tiêu chuẩn ATX12V V2.4 & EPS12V V2.92.- Hiệu suất cao ≥ 85%.- Active PFC ≧ 0,9.- Đạt Chứng nhận 80PLUS® Bronze.- Thiết kế đường Single Rail 12V."
PWJU001,Nguồn Jupistar 500W 24P (Màu Trắng),12 tháng,0,259000,Categories/img/Psu/250_50354_1.jpg,- No information
PWFP010,Nguồn FSP Power Supply HYDRO Series Model HD600  Active PFC (80 Plus  Bronze/Màu Đen),24 tháng,1599000,1499000,Categories/img/Psu/250_31135_nguon_fsp_hydro_series_600w_model_hd600_0001_2.jpg,- No information
PWCO051,Nguồn Corsair SF Series SF600  600W (80 Plus  Gold Certified High Performance SFX/Màu Đen),24 tháng,0,3099000,Categories/img/Psu/250_35292_corsair_sf_series_sf600_600w_80_plus_gold_certified_high_performance_sfx_0007_8.jpg,- No information
PWFP040,Nguồn FSP Power Supply HYDRO-GE Series Model HGE650 Active PFC (80 Plus  Gold/Full Modular/ ATX/Màu Đen),24 tháng,2599000,2299000,Categories/img/Psu/250_40894_fsp_power_supply_hydro_ge_series_model_hge650_0001_2.jpg,"- Tuân thủ ATX12 v2.4 & EPS12 v2.92.- Hiệu quả cao ≧ 90%.- PFC hoạt động ≧ 0,9.- Đạt chứng nhận 80PLUS® GOLD.- Nhãn dán có thể thay đổi cho những người đam mê DIY và game thủ."
