code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
RAAN020,Ram Desktop ANTECMEMORY 1S (AMD4UZ32661908G-1S) 8GB (1x8GB) DDR4 2666Mhz,24 tháng,899000,799000,Categories/img/Ram/250_49037_ram_antecmemory_1s.jpg,- Dòng RAM cơ bản nhất của Antecmemory.- Dung lượng: 8GB.- Kiểu: DDRam 4.- Bus: 2666 MHz.- Đóng gói: 1 x 8GB.
RAAN001,RAM Desktop ANTECMEMORY 1S 8GB (1x8GB) 2400MHz,24 tháng,899000,779000,Categories/img/Ram/250_40923_ram_antecmemory_1s.jpg,- Kiểu Ram: DDR4.- Dung lượng: 8GB.- Bus: 2400MHz.
RAGS443,RAM Desktop Gskill Trident Z Neo (F4-3600C16D-16GTZNC) 16GB (2x8GB) DDR4 3600MHz,24 tháng,3299000,3099000,Categories/img/Ram/250_48711_gskill_trident_z_neo.jpg,- Dòng sản phẩm Gskill Trident Z Neo mới nhất của Gskill.- Phù hợp với nền tảng AMD.- Dung lượng: 2 x 8GB.- Thế hệ: DDR4.- Bus: 3600MHz.
RAMI002,RAM desktop DDR4 Micron ECC 16GB/2133Mhz (ECC Registered),24 tháng,2189000,1399000,Categories/img/Ram/250_49954_micron_ecc_16gb_2133mhz.jpg,- Kiểu Ram: ECC Registered.- Dung lượng: 1 x 16GB.- Thế hệ: DDR4.- Bus: 2133MHz.
RAKT241,DDRam 4 Kingston ECC 16GB 2400Mhz - KSM24ED8/16ME,24 tháng,0,2999000,Categories/img/Ram/250_47346_kingston_ecc_16gb_2400mhz_ksm24ed8.jpg,- Dòng RAM ECC dành cho máy chủ của Kingston.- Dung lượng: 1 x 16GB.- Thế hệ: DDR4.- Bus: 2400MHz.
RAKT243,DDRam 4 Kingston ECC 32GB/2666 - KSM26RD4/32HAI Registered,24 tháng,0,6190000,Categories/img/Ram/250_47682_kingston_ecc__32gb2666_ksm26rd432hai.jpg,- Dòng sản phẩm ECC của Kingston.- Dung lượng: 1 x 32GB.- Thế hệ: DDR4.- Bus: 2666MHz.
RAKT137,RAM Desktop KINGSTON (KVR16N11S8/4) 4GB (1x4GB) DDR3 1600MHz,24 tháng,0,599000,Categories/img/Ram/250_12622_kingston_4gb_1600mhz_ddr3_kvr16n11s8_4.jpg,- Dung lượng 4GB.- Kiểu Ram DDRam 3.- Bus Ram hỗ trợ 1600.
RASP013,RAM Desktop SILICON POWER 4G (1x4GB) DDR4 2400MHz,24 tháng,0,499000,Categories/img/Ram/250_38611_ram_silicon_power_ddr4.jpg,- Dung lượng: 4GB.- Kiểu: DDRam 4.- Bus: 2400 MHz.
RAAN015,DDRam 4 ANTECMEMORY 8GB/2666 (1*8GB) 5S - RGB Led,24 tháng,1199000,879000,Categories/img/Ram/250_44008_ram_antecmemory_series_5_white.jpg,- Dung lượng: 1 x 8GB.- Thế hệ: DDR4.- Bus: 2666MHz.- LED: RGB.
RAAV170,Ram Desktop AVEXIR 1COR RGB (AVD4UZ330001608G-1CORGB) 8GB (1x8GB) DDR4 3000Mhz,24 tháng,0,1099000,Categories/img/Ram/250_51931_hnc_avexir_core_rgb.jpg,- Bộ nhớ RAM RGB giá hợp lý của Avexir.- Dung lượng: 1 x 8GB.- Thế hệ: DDR4.- Bus: 3000MHz.
